survey,series,seriesID,state
CES,"Manufacturing, Seasonally adjusted",SMS16000003000000001, Idaho
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS16000004000000001, Idaho
CES,"Financial Activities, Seasonally adjusted",SMS16000005500000001, Idaho
CES,"Professional and Business Services, Seasonally adjusted",SMS16000006000000001, Idaho
CES,"Education and Health Services, Seasonally adjusted",SMS16000006500000001, Idaho
CES,"Leisure and Hospitality, Seasonally adjusted",SMS16000007000000001, Idaho
CES,"Other Services, Seasonally adjusted",SMS16000008000000001, Idaho
CES,"Government, Seasonally adjusted",SMS16000009000000001, Idaho
CES,"Total Nonfarm, Not seasonally adjusted",SMU16000000000000001, Idaho
CES,"Mining and Logging, Not seasonally adjusted",SMU16000001000000001, Idaho
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU16000001500000001, Idaho
CES,"Construction, Not seasonally adjusted",SMU16000002000000001, Idaho
CES,"Manufacturing, Not seasonally adjusted",SMU16000003000000001, Idaho
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU16000004000000001, Idaho
CES,"Information, Not seasonally adjusted",SMU16000005000000001, Idaho
CES,"Financial Activities, Not seasonally adjusted",SMU16000005500000001, Idaho
CES,"Professional and Business Services, Not seasonally adjusted",SMU16000006000000001, Idaho
CES,"Education and Health Services, Not seasonally adjusted",SMU16000006500000001, Idaho
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU16000007000000001, Idaho
CES,"Other Services, Not seasonally adjusted",SMU16000008000000001, Idaho
CES,"Government, Not seasonally adjusted",SMU16000009000000001, Idaho
CES,"Total Nonfarm, Seasonally adjusted",SMS17000000000000001, Illinois
CES,"Mining and Logging, Seasonally adjusted",SMS17000001000000001, Illinois
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS17000001500000001, Illinois
CES,"Construction, Seasonally adjusted",SMS17000002000000001, Illinois
CES,"Manufacturing, Seasonally adjusted",SMS17000003000000001, Illinois
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS17000004000000001, Illinois
CES,"Information, Seasonally adjusted",SMS17000005000000001, Illinois
CES,"Financial Activities, Seasonally adjusted",SMS17000005500000001, Illinois
CES,"Professional and Business Services, Seasonally adjusted",SMS17000006000000001, Illinois
CES,"Education and Health Services, Seasonally adjusted",SMS17000006500000001, Illinois
CES,"Leisure and Hospitality, Seasonally adjusted",SMS17000007000000001, Illinois
CES,"Other Services, Seasonally adjusted",SMS17000008000000001, Illinois
CES,"Government, Seasonally adjusted",SMS17000009000000001, Illinois
CES,"Total Nonfarm, Not seasonally adjusted",SMU17000000000000001, Illinois
CES,"Mining and Logging, Not seasonally adjusted",SMU17000001000000001, Illinois
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU17000001500000001, Illinois
CES,"Construction, Not seasonally adjusted",SMU17000002000000001, Illinois
CES,"Manufacturing, Not seasonally adjusted",SMU17000003000000001, Illinois
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU17000004000000001, Illinois
CES,"Information, Not seasonally adjusted",SMU17000005000000001, Illinois
CES,"Financial Activities, Not seasonally adjusted",SMU17000005500000001, Illinois
CES,"Professional and Business Services, Not seasonally adjusted",SMU17000006000000001, Illinois
CES,"Education and Health Services, Not seasonally adjusted",SMU17000006500000001, Illinois
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU17000007000000001, Illinois
CES,"Other Services, Not seasonally adjusted",SMU17000008000000001, Illinois
CES,"Government, Not seasonally adjusted",SMU17000009000000001, Illinois
CES,"Total Nonfarm, Seasonally adjusted",SMS18000000000000001, Indiana
CES,"Mining and Logging, Seasonally adjusted",SMS18000001000000001, Indiana
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS18000001500000001, Indiana
CES,"Construction, Seasonally adjusted",SMS18000002000000001, Indiana
CES,"Manufacturing, Seasonally adjusted",SMS18000003000000001, Indiana
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS18000004000000001, Indiana
CES,"Information, Seasonally adjusted",SMS18000005000000001, Indiana
CES,"Financial Activities, Seasonally adjusted",SMS18000005500000001, Indiana
CES,"Professional and Business Services, Seasonally adjusted",SMS18000006000000001, Indiana
CES,"Education and Health Services, Seasonally adjusted",SMS18000006500000001, Indiana
CES,"Leisure and Hospitality, Seasonally adjusted",SMS18000007000000001, Indiana
CES,"Other Services, Seasonally adjusted",SMS18000008000000001, Indiana
