"seriesid","series","state","survey","is_adjusted"
"SMS19000001000000001","Mining and Logging","Iowa","CES",True
"SMS19000001500000001","Mining, Logging, and Construction","Iowa","CES",True
"SMS19000002000000001","Construction","Iowa","CES",True
"SMS19000003000000001","Manufacturing","Iowa","CES",True
"SMS19000004000000001","Trade, Transportation, and Utilities","Iowa","CES",True
"SMS19000005000000001","Information","Iowa","CES",True
"SMS19000005500000001","Financial Activities","Iowa","CES",True
"SMS19000006000000001","Professional and Business Services","Iowa","CES",True
"SMS19000006500000001","Education and Health Services","Iowa","CES",True
"SMS19000007000000001","Leisure and Hospitality","Iowa","CES",True
"SMS19000008000000001","Other Services","Iowa","CES",True
"SMS19000009000000001","Government","Iowa","CES",True
"SMU19000000000000001","Total Nonfarm","Iowa","CES",False
"SMU19000001000000001","Mining and Logging","Iowa","CES",False
"SMU19000001500000001","Mining, Logging, and Construction","Iowa","CES",False
"SMU19000002000000001","Construction","Iowa","CES",False
"SMU19000003000000001","Manufacturing","Iowa","CES",False
"SMU19000004000000001","Trade, Transportation, and Utilities","Iowa","CES",False
"SMU19000005000000001","Information","Iowa","CES",False
"SMU19000005500000001","Financial Activities","Iowa","CES",False
"SMU19000006000000001","Professional and Business Services","Iowa","CES",False
"SMU19000006500000001","Education and Health Services","Iowa","CES",False
"SMU19000007000000001","Leisure and Hospitality","Iowa","CES",False
"SMU19000008000000001","Other Services","Iowa","CES",False
"SMU19000009000000001","Government","Iowa","CES",False
"SMS20000000000000001","Total Nonfarm","Kansas","CES",True
"SMS20000001000000001","Mining and Logging","Kansas","CES",True
"SMS20000001500000001","Mining, Logging, and Construction","Kansas","CES",True
"SMS20000002000000001","Construction","Kansas","CES",True
"SMS20000003000000001","Manufacturing","Kansas","CES",True
"SMS20000004000000001","Trade, Transportation, and Utilities","Kansas","CES",True
"SMS20000005000000001","Information","Kansas","CES",True
"SMS20000005500000001","Financial Activities","Kansas","CES",True
"SMS20000006000000001","Professional and Business Services","Kansas","CES",True
"SMS20000006500000001","Education and Health Services","Kansas","CES",True
"SMS20000007000000001","Leisure and Hospitality","Kansas","CES",True
"SMS20000008000000001","Other Services","Kansas","CES",True
"SMS20000009000000001","Government","Kansas","CES",True
"SMU20000000000000001","Total Nonfarm","Kansas","CES",False
"SMU20000001000000001","Mining and Logging","Kansas","CES",False
"SMU20000001500000001","Mining, Logging, and Construction","Kansas","CES",False
"SMU20000002000000001","Construction","Kansas","CES",False
"SMU20000003000000001","Manufacturing","Kansas","CES",False
"SMU20000004000000001","Trade, Transportation, and Utilities","Kansas","CES",False
"SMU20000005000000001","Information","Kansas","CES",False
"SMU20000005500000001","Financial Activities","Kansas","CES",False
"SMU20000006000000001","Professional and Business Services","Kansas","CES",False
"SMU20000006500000001","Education and Health Services","Kansas","CES",False
"SMU20000007000000001","Leisure and Hospitality","Kansas","CES",False
"SMU20000008000000001","Other Services","Kansas","CES",False
"SMU20000009000000001","Government","Kansas","CES",False
"SMS21000000000000001","Total Nonfarm","Kentucky","CES",True
"SMS21000001000000001","Mining and Logging","Kentucky","CES",True
"SMS21000001500000001","Mining, Logging, and Construction","Kentucky","CES",True
"SMS21000002000000001","Construction","Kentucky","CES",True
"SMS21000003000000001","Manufacturing","Kentucky","CES",True
"SMS21000003100000001","Durable Goods","Kentucky","CES",True
"SMS21000004000000001","Trade, Transportation, and Utilities","Kentucky","CES",True
"SMS21000005000000001","Information","Kentucky","CES",True
"SMS21000005500000001","Financial Activities","Kentucky","CES",True
"SMS21000006000000001","Professional and Business Services","Kentucky","CES",True
"SMS21000006500000001","Education and Health Services","Kentucky","CES",True
"SMS21000007000000001","Leisure and Hospitality","Kentucky","CES",True
"SMS21000008000000001","Other Services","Kentucky","CES",True
"SMS21000009000000001","Government","Kentucky","CES",True
"SMU21000000000000001","Total Nonfarm","Kentucky","CES",False
"SMU21000001000000001","Mining and Logging","Kentucky","CES",False
"SMU21000001500000001","Mining, Logging, and Construction","Kentucky","CES",False
"SMU21000002000000001","Construction","Kentucky","CES",False
"SMU21000003000000001","Manufacturing","Kentucky","CES",False
"SMU21000004000000001","Trade, Transportation, and Utilities","Kentucky","CES",False
"SMU21000005000000001","Information","Kentucky","CES",False
"SMU21000005500000001","Financial Activities","Kentucky","CES",False
"SMU21000006000000001","Professional and Business Services","Kentucky","CES",False
"SMU21000006500000001","Education and Health Services","Kentucky","CES",False
"SMU21000007000000001","Leisure and Hospitality","Kentucky","CES",False
"SMU21000008000000001","Other Services","Kentucky","CES",False
"SMU21000009000000001","Government","Kentucky","CES",False
"SMS22000000000000001","Total Nonfarm","Louisiana","CES",True
"SMS22000001000000001","Mining and Logging","Louisiana","CES",True
"SMS22000001500000001","Mining, Logging, and Construction","Louisiana","CES",True
"SMS22000002000000001","Construction","Louisiana","CES",True
"SMS22000003000000001","Manufacturing","Louisiana","CES",True
"SMS22000004000000001","Trade, Transportation, and Utilities","Louisiana","CES",True
"SMS22000005000000001","Information","Louisiana","CES",True
"SMS22000005500000001","Financial Activities","Louisiana","CES",True
"SMS22000006000000001","Professional and Business Services","Louisiana","CES",True
"SMS22000006500000001","Education and Health Services","Louisiana","CES",True
"SMS22000007000000001","Leisure and Hospitality","Louisiana","CES",True
"SMS22000008000000001","Other Services","Louisiana","CES",True
"SMS22000009000000001","Government","Louisiana","CES",True
"SMU22000000000000001","Total Nonfarm","Louisiana","CES",False
"SMU22000001000000001","Mining and Logging","Louisiana","CES",False
"SMU22000001500000001","Mining, Logging, and Construction","Louisiana","CES",False
"SMU22000002000000001","Construction","Louisiana","CES",False
"SMU22000003000000001","Manufacturing","Louisiana","CES",False
"SMU22000004000000001","Trade, Transportation, and Utilities","Louisiana","CES",False
"SMU22000005000000001","Information","Louisiana","CES",False
"SMU22000005500000001","Financial Activities","Louisiana","CES",False
"SMU22000006000000001","Professional and Business Services","Louisiana","CES",False
"SMU22000006500000001","Education and Health Services","Louisiana","CES",False
"SMU22000007000000001","Leisure and Hospitality","Louisiana","CES",False
